,,,,,,,,,,,CRICETIDAE,,,,,SCIURIDAE,,,,,,,,,,,,,,,,,,,,,,,,GLIRIDAE,,,,,,,,,,,,,,EOMYIDAE,,,,,,,,,
LOCAL BIOZONE,NUMERICAL AGE in MA,LOCCODE,D.franconicus,D.koenigswaldi,D.larteti,D.hispanicus,D.moralesi,D.jordensi,D.lacombai,Melissiodon,Eumyarion,M.collongensis,M.pepei,M.gersii,Cricetodon,H. rubricati,Heteroxerus n. sp. 1,H. cf rubricati,H. grivensis,Heteroxerus n. sp. 2,Atlantoxerus blacki,Palaeosciurus sp.,Spermophilinus besana,Ratufa ?,Petauristinae,Peridyromys murinus,Peridyromys darocensis,P.darocensis-sondaari,P.sondaari,Praearmantomys crusafonti,Arm. Jasperi,Arm.aragonensis,Arm.tricristatus,Ps.ibericus,Ps.simplicidens,Ps.julii,Ps.robustus,Ps.johannae,Ps.michieli,Prodryomys ,Microd.legidensis,Microd.koenigswladi,Microd.n.sp.,Microd.complicatus,Tempestia ovilis,Muscardinus thaleri,Myoglis sp.,Paraglirulus werenfelsi,Glirudinus modestus,Glirudinus undosus,Glirudinus sp.,Ligerimys antiquus,Ligerimys cf. fahlbuschi,Ligerimys palomae,Ligerimys florancei,Ligerimys ellipticus,Keramidomys,N M12,N of SPECIES,% DRY RODENTS,% CATHOLIC,% WET RODENTS,LOCCODE
,14.43,LUM1,,50.4,,,,,1.0,,,34.6,,,,,,4.0,,,,,,,,,,,,,,,0.6,,0.6,,,,,,0.6,8.2,,,,,,,,,,,,,,,,168,8,91.1,8.9,,LUM1
,14.52,VA3F,,22.2,,,,,,,,40.4,,,,,,12.1,,,,,,,,,,,,,,,1.8,0.3,18.5,,,,,,,4.7,,,,,,,,,,,,,,,,272,7,95.3,4.7,,VA3F
,14.55,VA3E,,25.0,,,,,,,,45.9,,,,,,19.0,,,,,,,,,,,,,,,2.0,,4.5,,,,,,,3.3,,,,0.4,,,,,,,,,,,,443,7,96.3,3.3,0.4,VA3E
,14.56,VA6A,,52.3,,,,,,,,27.6,,,,,,3.9,,,,,,,,,,,,,,,1.7,0.3,1.0,,,,,,,13.1,,,,,,,,,,,,,,,,775,7,86.7,13.3,,VA6A
,14.58,VA7C,,83.8,,,,,1.0,,,9.1,,,,,,2.0,,,,,,,,,,,,,,,0.2,0.1,0.2,,,,,,0.2,3.3,,,,,,,,,,,,,,,,1536,9,96.5,3.5,,VA7C
,14.62,VA7B,,64.1,,,,2.0,,,,17.0,,,,,,7.0,,,,,,,,,,,,,,0.1,,0.4,1.3,,,,,,,8.1,,,,,,,,,,,,,,,,568,8,91.9,8.1,,VA7B
,14.64,VA1A,,26.7,,,,1.0,,,,49.4,,,,,,3.0,,,,,,,,,,,,,,3.1,,5.6,,,,,,,,11.3,,,,,,,,,,,,,,,,189,7,88.6,11.4,,VA1A
,14.65,VA7A,,28.9,,,,4.0,,,,45.8,,,,,,11.0,,,,,,,,,,,,,,1.2,,0.8,0.4,,,,,,,8.0,,,,,,,,,,,,,,,,237,8,92,8,,VA7A
,14.69,VA8B,,62.8,,,,3.3,,,,9.8,,,,,,3.3,,,,,,,,,,,,,,1.1,,0.3,,,,,,,9.5,9.8,,,,0.3,,,,,,,,,,,,224,9,76,23.6,0.4,VA8B
,14.71,VA8C,,43.7,,,,6.0,,,,27.8,,,,,,6.0,,,,,,,,,,,,,,0.8,,,,,,,,,,15.9,,,,,,,,,,,,,,,,127,6,84,16,,VA8C
